Unnamed: 0,Unnamed: 1,Unnamed: 2, Affirmations,Tag,Unnamed: 5,bg_Translation,hr_Translation
,,,I love myself unconditionally,positive,,Translated: I love myself unconditionally to bg,Translated: I love myself unconditionally to hr
,,,I am a good person who deserves to be happy,positive,,Translated: I am a good person who deserves to be happy to bg,Translated: I am a good person who deserves to be happy to hr
,,,I take pride in who I am,positive,,Translated: I take pride in who I am to bg,Translated: I take pride in who I am to hr
,,,I am happy just being me,positive,,Translated: I am happy just being me to bg,Translated: I am happy just being me to hr
,,,I am totally comfortable being myself,positive,,Translated: I am totally comfortable being myself to bg,Translated: I am totally comfortable being myself to hr
,,,I have limitless confidence in my abilities,positive,,Translated: I have limitless confidence in my abilities to bg,Translated: I have limitless confidence in my abilities to hr
,,,I accept myself deeply and completely,positive,,Translated: I accept myself deeply and completely to bg,Translated: I accept myself deeply and completely to hr
,,,I have accomplished great things,positive,,Translated: I have accomplished great things to bg,Translated: I have accomplished great things to hr
,,,Others are inspired by my ability to be myself,positive,,Translated: Others are inspired by my ability to be myself to bg,Translated: Others are inspired by my ability to be myself to hr
,,,I have confidence in my ability to do whatever I set my mind to,positive,,Translated: I have confidence in my ability to do whatever I set my mind to to bg,Translated: I have confidence in my ability to do whatever I set my mind to to hr
,,,HAPPINESS KNOCKS ON MY DOOR,positive,,Translated: HAPPINESS KNOCKS ON MY DOOR to bg,Translated: HAPPINESS KNOCKS ON MY DOOR to hr
,,,I enjoy my days,positive,,Translated: I enjoy my days to bg,Translated: I enjoy my days to hr
,,,I ENRICH MY DAYS WITH POSITIVITY,positive,,Translated: I ENRICH MY DAYS WITH POSITIVITY to bg,Translated: I ENRICH MY DAYS WITH POSITIVITY to hr
,,,"I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON",positive,,"Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to bg","Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to hr"
,,,I am finding it easier to love and accept myself,positive,,Translated: I am finding it easier to love and accept myself to bg,Translated: I am finding it easier to love and accept myself to hr
,,,Each day I become more confident in who I am,positive,,Translated: Each day I become more confident in who I am to bg,Translated: Each day I become more confident in who I am to hr
,,,I will take time to remember all my accomplishments,positive,,Translated: I will take time to remember all my accomplishments to bg,Translated: I will take time to remember all my accomplishments to hr
,,,I will love myself unconditionally no matter what,positive,,Translated: I will love myself unconditionally no matter what to bg,Translated: I will love myself unconditionally no matter what to hr
,,,I am beginning to see all the positive qualities and traits that I have,positive,,Translated: I am beginning to see all the positive qualities and traits that I have to bg,Translated: I am beginning to see all the positive qualities and traits that I have to hr
,,,Others are starting to notice my self acceptance and improved confidence,positive,,Translated: Others are starting to notice my self acceptance and improved confidence to bg,Translated: Others are starting to notice my self acceptance and improved confidence to hr
,,,I am discovering more wonderful things about myself with each passing day,positive,,Translated: I am discovering more wonderful things about myself with each passing day to bg,Translated: I am discovering more wonderful things about myself with each passing day to hr
,,,I am beginning to truly love myself,positive,,Translated: I am beginning to truly love myself to bg,Translated: I am beginning to truly love myself to hr
,,,Loving myself feels more natural and effortless,positive,,Translated: Loving myself feels more natural and effortless to bg,Translated: Loving myself feels more natural and effortless to hr
,,,I will always accept myself unconditionally,positive,,Translated: I will always accept myself unconditionally to bg,Translated: I will always accept myself unconditionally to hr
,,,I AM CONFIDENT AND BELIEVE IN MYSELF,positive,,Translated: I AM CONFIDENT AND BELIEVE IN MYSELF to bg,Translated: I AM CONFIDENT AND BELIEVE IN MYSELF to hr
,,,"I HAVE CONFIDENCE, INNER-STRENGTH AND FAITH",positive,,"Translated: I HAVE CONFIDENCE, INNER-STRENGTH AND FAITH to bg","Translated: I HAVE CONFIDENCE, INNER-STRENGTH AND FAITH to hr"
,,,CONFIDENCE SHINES THROUGH ME,positive,,Translated: CONFIDENCE SHINES THROUGH ME to bg,Translated: CONFIDENCE SHINES THROUGH ME to hr
,,,Loving myself is essential to my happiness,positive,,Translated: Loving myself is essential to my happiness to bg,Translated: Loving myself is essential to my happiness to hr
,,,I deserve to go after my goals and do what makes me happy,positive,,Translated: I deserve to go after my goals and do what makes me happy to bg,Translated: I deserve to go after my goals and do what makes me happy to hr
,,,I find it easy to recognize my positive qualities,positive,,Translated: I find it easy to recognize my positive qualities to bg,Translated: I find it easy to recognize my positive qualities to hr
