Unnamed: 0,Unnamed: 1,Unnamed: 2, Affirmations,Tag,Unnamed: 5,bg_Translation
,,,I love myself unconditionally,positive,,Translated: I love myself unconditionally to bg
,,,I am a good person who deserves to be happy,positive,,Translated: I am a good person who deserves to be happy to bg
,,,I take pride in who I am,positive,,Translated: I take pride in who I am to bg
,,,I am happy just being me,positive,,Translated: I am happy just being me to bg
,,,I am totally comfortable being myself,positive,,Translated: I am totally comfortable being myself to bg
,,,I have limitless confidence in my abilities,positive,,Translated: I have limitless confidence in my abilities to bg
,,,I accept myself deeply and completely,positive,,Translated: I accept myself deeply and completely to bg
,,,I have accomplished great things,positive,,Translated: I have accomplished great things to bg
,,,Others are inspired by my ability to be myself,positive,,Translated: Others are inspired by my ability to be myself to bg
,,,I have confidence in my ability to do whatever I set my mind to,positive,,Translated: I have confidence in my ability to do whatever I set my mind to to bg
,,,HAPPINESS KNOCKS ON MY DOOR,positive,,Translated: HAPPINESS KNOCKS ON MY DOOR to bg
,,,I enjoy my days,positive,,Translated: I enjoy my days to bg
,,,I ENRICH MY DAYS WITH POSITIVITY,positive,,Translated: I ENRICH MY DAYS WITH POSITIVITY to bg
,,,"I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON",positive,,"Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to bg"
,,,I am finding it easier to love and accept myself,positive,,Translated: I am finding it easier to love and accept myself to bg
,,,Each day I become more confident in who I am,positive,,Translated: Each day I become more confident in who I am to bg
,,,I will take time to remember all my accomplishments,positive,,Translated: I will take time to remember all my accomplishments to bg
,,,I will love myself unconditionally no matter what,positive,,Translated: I will love myself unconditionally no matter what to bg
,,,I am beginning to see all the positive qualities and traits that I have,positive,,Translated: I am beginning to see all the positive qualities and traits that I have to bg
,,,Others are starting to notice my self acceptance and improved confidence,positive,,Translated: Others are starting to notice my self acceptance and improved confidence to bg
,,,I am discovering more wonderful things about myself with each passing day,positive,,Translated: I am discovering more wonderful things about myself with each passing day to bg
,,,I am beginning to truly love myself,positive,,Translated: I am beginning to truly love myself to bg
,,,Loving myself feels more natural and effortless,positive,,Translated: Loving myself feels more natural and effortless to bg
,,,I will always accept myself unconditionally,positive,,Translated: I will always accept myself unconditionally to bg
,,,I AM CONFIDENT AND BELIEVE IN MYSELF,positive,,Translated: I AM CONFIDENT AND BELIEVE IN MYSELF to bg
,,,"I HAVE CONFIDENCE, INNER-STRENGTH AND FAITH",positive,,"Translated: I HAVE CONFIDENCE, INNER-STRENGTH AND FAITH to bg"
,,,CONFIDENCE SHINES THROUGH ME,positive,,Translated: CONFIDENCE SHINES THROUGH ME to bg
,,,Loving myself is essential to my happiness,positive,,Translated: Loving myself is essential to my happiness to bg
,,,I deserve to go after my goals and do what makes me happy,positive,,Translated: I deserve to go after my goals and do what makes me happy to bg
,,,I find it easy to recognize my positive qualities,positive,,Translated: I find it easy to recognize my positive qualities to bg
,,,Being happy with myself is a normal part of my every day life,positive,,Translated: Being happy with myself is a normal part of my every day life to bg
,,,I find it easy to be confident and comfortable with who I am,positive,,Translated: I find it easy to be confident and comfortable with who I am to bg
,,,Accepting myself unconditionally gives me the power to succeed,positive,,Translated: Accepting myself unconditionally gives me the power to succeed to bg
,,,I know I have the right to be happy and nothing can take that away from me,positive,,Translated: I know I have the right to be happy and nothing can take that away from me to bg
,,,Loving myself and being happy with who I am comes naturally to me,positive,,Translated: Loving myself and being happy with who I am comes naturally to me to bg
,,,I truly like myself and this helps others to accept me for who I am,positive,,Translated: I truly like myself and this helps others to accept me for who I am to bg
,,,I have a natural awareness of all the positive things in my life,positive,,Translated: I have a natural awareness of all the positive things in my life to bg
,,,"I FEEL CAPABLE, WORTHY AND STRONG",positive,,"Translated: I FEEL CAPABLE, WORTHY AND STRONG to bg"
,,,ENORMOUS STRENGTH COMES TO ME AT THE RIGHT TIME,positive,,Translated: ENORMOUS STRENGTH COMES TO ME AT THE RIGHT TIME to bg
,,,I FEEL CONFIDENT IN MYSELF,positive,,Translated: I FEEL CONFIDENT IN MYSELF to bg
,,,I am confident,positive,,Translated: I am confident to bg
,,,I am strong and powerful,positive,,Translated: I am strong and powerful to bg
,,,I boldly go after what I want in life,positive,,Translated: I boldly go after what I want in life to bg
,,,I am outgoing and confident in social situations,positive,,Translated: I am outgoing and confident in social situations to bg
,,,I believe in myself,positive,,Translated: I believe in myself to bg
,,,I always stand up for myself and my beliefs,positive,,Translated: I always stand up for myself and my beliefs to bg
,,,I confidently meet any challenge,positive,,Translated: I confidently meet any challenge to bg
,,,I confidently speak my mind without hesitation,positive,,Translated: I confidently speak my mind without hesitation to bg
,,,Others look up to me as a leader because of my confidence,positive,,Translated: Others look up to me as a leader because of my confidence to bg
,,,I always express my thoughts and opinions with confidence,positive,,Translated: I always express my thoughts and opinions with confidence to bg
,,,I AM CONFIDENT AND FILLED WITH STRENGTH,positive,,Translated: I AM CONFIDENT AND FILLED WITH STRENGTH to bg
,,,I BREATHE AND MOVE WITH CONFIDENCE,positive,,Translated: I BREATHE AND MOVE WITH CONFIDENCE to bg
,,,MY CONFIDENCE EMPOWERS ME TO DREAM BIG,positive,,Translated: MY CONFIDENCE EMPOWERS ME TO DREAM BIG to bg
,,,I will become confident,positive,,Translated: I will become confident to bg
,,,My confidence is increasing,positive,,Translated: My confidence is increasing to bg
,,,I will always believe in myself and my ability to succeed,positive,,Translated: I will always believe in myself and my ability to succeed to bg
,,,"Every day I become more confident, powerful, and assertive",positive,,"Translated: Every day I become more confident, powerful, and assertive to bg"
,,,I am becoming more sure of myself with each passing day,positive,,Translated: I am becoming more sure of myself with each passing day to bg
,,,I am finding it easier to have confidence in myself,positive,,Translated: I am finding it easier to have confidence in myself to bg
,,,I am starting to confidently assert my thoughts and opinions,positive,,Translated: I am starting to confidently assert my thoughts and opinions to bg
,,,I will always meet a difficult challenge with confident action,positive,,Translated: I will always meet a difficult challenge with confident action to bg
,,,I am transforming into someone who always stands up for what they believe in,positive,,Translated: I am transforming into someone who always stands up for what they believe in to bg
,,,Others are starting to notice my self confidence,positive,,Translated: Others are starting to notice my self confidence to bg
,,,"I FEEL CONFIDENT, STRONG AND EMPOWERED",positive,,"Translated: I FEEL CONFIDENT, STRONG AND EMPOWERED to bg"
,,,My confidence strengthens me,positive,,Translated: My confidence strengthens me to bg
,,,THOUGHTS OF CONFIDENCE MAKE ME STRONGER,positive,,Translated: THOUGHTS OF CONFIDENCE MAKE ME STRONGER to bg
,,,MY CONFIDENCE EMPOWERS ME,positive,,Translated: MY CONFIDENCE EMPOWERS ME to bg
,,,I am naturally confident,positive,,Translated: I am naturally confident to bg
,,,I have unbreakable confidence within myself,positive,,Translated: I have unbreakable confidence within myself to bg
,,,My confidence commands respect and attention,positive,,Translated: My confidence commands respect and attention to bg
,,,I enjoy being confident and outgoing in social situations,positive,,Translated: I enjoy being confident and outgoing in social situations to bg
,,,I impress others with my confident assertiveness,positive,,Translated: I impress others with my confident assertiveness to bg
,,,Confidence empowers me to take action and live life to the fullest,positive,,Translated: Confidence empowers me to take action and live life to the fullest to bg
,,,"When I see something I want, I just go for it without hesitation",positive,,"Translated: When I see something I want, I just go for it without hesitation to bg"
,,,Developing confidence will improve my life,positive,,Translated: Developing confidence will improve my life to bg
,,,"Feeling confident, assured, and strong is a normal part of my every day life",positive,,"Translated: Feeling confident, assured, and strong is a normal part of my every day life to bg"
,,,I SHOW CONFIDENCE IN ALL THAT I DO,positive,,Translated: I SHOW CONFIDENCE IN ALL THAT I DO to bg
,,,MY CONFIDENCE GROWS: I FEEL POWERFUL AND CAPABLE OF ACHIEVING MY GOALS,positive,,Translated: MY CONFIDENCE GROWS: I FEEL POWERFUL AND CAPABLE OF ACHIEVING MY GOALS to bg
,,,"I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON",positive,,"Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to bg"
,,,"I AM HAPPY, SMILING, AND ALWAYS HAVING FUN",positive,,"Translated: I AM HAPPY, SMILING, AND ALWAYS HAVING FUN to bg"
,,,MY HAPPINESS IS CONTAGIOUS,positive,,Translated: MY HAPPINESS IS CONTAGIOUS to bg
,,,I am a great person,positive,,Translated: I am a great person to bg
,,,I respect myself deeply,positive,,Translated: I respect myself deeply to bg
,,,My thoughts and opinions are valuable,positive,,Translated: My thoughts and opinions are valuable to bg
,,,I am confident that I can achieve anything,positive,,Translated: I am confident that I can achieve anything to bg
,,,I have something special to offer the world,positive,,Translated: I have something special to offer the world to bg
,,,Others like and respect me,positive,,Translated: Others like and respect me to bg
,,,I am a wonderful human being,positive,,Translated: I am a wonderful human being to bg
,,,I feel great about myself and my life,positive,,Translated: I feel great about myself and my life to bg
,,,"I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER",positive,,"Translated: I FEEL EXCITED ABOUT MY LIFE, AND DAILY, I MAKE IT BETTER to bg"
,,,"EMOTIONS OF JOY MAKE ME HAPPY, AND I SMILE",positive,,"Translated: EMOTIONS OF JOY MAKE ME HAPPY, AND I SMILE to bg"
,,,HAPPINESS AND EMOTIONS OF JOY OVERWHELM ME,positive,,Translated: HAPPINESS AND EMOTIONS OF JOY OVERWHELM ME to bg
,,,I will succeed,positive,,Translated: I will succeed to bg
,,,I will always love and respect myself,positive,,Translated: I will always love and respect myself to bg
,,,My self esteem is growing,positive,,Translated: My self esteem is growing to bg
,,,Each day I believe in myself more and more,positive,,Translated: Each day I believe in myself more and more to bg
,,,My self image is starting to improve,positive,,Translated: My self image is starting to improve to bg
,,,I will always think positively about myself,positive,,Translated: I will always think positively about myself to bg
,,,I will achieve whatever I put my mind to,positive,,Translated: I will achieve whatever I put my mind to to bg
,,,I am starting to feel more confident in myself,positive,,Translated: I am starting to feel more confident in myself to bg
,,,"My Confidence, self esteem, and self belief are increasing with each day",positive,,"Translated: My Confidence, self esteem, and self belief are increasing with each day to bg"
,,,I am transforming into someone who is happy and positive,positive,,Translated: I am transforming into someone who is happy and positive to bg
,,,I choose partners who uplift and support me.,positive,,Translated: I choose partners who uplift and support me. to bg
,,,I am surrounded by love and kindness.,positive,,Translated: I am surrounded by love and kindness. to bg
,,,"My heart is open to love, and I attract it effortlessly.",positive,,"Translated: My heart is open to love, and I attract it effortlessly. to bg"
,,,I am grateful for the love in my life.,positive,,Translated: I am grateful for the love in my life. to bg
,,,I believe in myself,positive,,Translated: I believe in myself to bg
,,,I deserve to feel good about myself,positive,,Translated: I deserve to feel good about myself to bg
,,,I know I can achieve anything,positive,,Translated: I know I can achieve anything to bg
,,,Having respect for myself helps others to like and respect me,positive,,Translated: Having respect for myself helps others to like and respect me to bg
,,,Feeling good about myself is normal for me,positive,,Translated: Feeling good about myself is normal for me to bg
,,,Improving my self esteem is very important,positive,,Translated: Improving my self esteem is very important to bg
,,,Being confident in myself comes naturally to me,positive,,Translated: Being confident in myself comes naturally to me to bg
,,,Liking and respecting myself is easy,positive,,Translated: Liking and respecting myself is easy to bg
,,,Speaking my mind with confidence is something I just naturally do,positive,,Translated: Speaking my mind with confidence is something I just naturally do to bg
,,,MY EXPERIENCES IN LIFE MAKE ME FEEL HAPPY,,,Translated: MY EXPERIENCES IN LIFE MAKE ME FEEL HAPPY to bg
,,,I SPEND MY DAYS IN JOY,positive,,Translated: I SPEND MY DAYS IN JOY to bg
,,,I WELCOME THE DAY WITH A SMILE ON MY FACE,positive,,Translated: I WELCOME THE DAY WITH A SMILE ON MY FACE to bg
,,,I always succeed,positive,,Translated: I always succeed to bg
,,,I am confident,positive,,Translated: I am confident to bg
,,,I achieve massive success,positive,,Translated: I achieve massive success to bg
,,,I am capable of reaching any goal,positive,,Translated: I am capable of reaching any goal to bg
,,,I am ready for anything,positive,,Translated: I am ready for anything to bg
,,,I am always positive,positive,,Translated: I am always positive to bg
,,,My mind is completely focused on success,positive,,Translated: My mind is completely focused on success to bg
,,,I am able to handle whatever life brings my way,positive,,Translated: I am able to handle whatever life brings my way to bg
,,,I am a beautiful person,positive,,Translated: I am a beautiful person to bg
,,,Others see me as confident and successful,positive,,Translated: Others see me as confident and successful to bg
,,,I am open to giving and receiving love.,positive,,Translated: I am open to giving and receiving love. to bg
,,,My relationships are based on mutual respect and understanding.,positive,,Translated: My relationships are based on mutual respect and understanding. to bg
