Unnamed: 0,Unnamed: 1,Unnamed: 2, Affirmations,Tag,Unnamed: 5,bg_Translation,hr_Translation,cs_Translation,da_Translation,nl_Translation,en_Translation,et_Translation
,,,I love myself unconditionally,positive,,Translated: I love myself unconditionally to bg,Translated: I love myself unconditionally to hr,Translated: I love myself unconditionally to cs,Translated: I love myself unconditionally to da,Translated: I love myself unconditionally to nl,Translated: I love myself unconditionally to en,Translated: I love myself unconditionally to et
,,,I am a good person who deserves to be happy,positive,,Translated: I am a good person who deserves to be happy to bg,Translated: I am a good person who deserves to be happy to hr,Translated: I am a good person who deserves to be happy to cs,Translated: I am a good person who deserves to be happy to da,Translated: I am a good person who deserves to be happy to nl,Translated: I am a good person who deserves to be happy to en,Translated: I am a good person who deserves to be happy to et
,,,I take pride in who I am,positive,,Translated: I take pride in who I am to bg,Translated: I take pride in who I am to hr,Translated: I take pride in who I am to cs,Translated: I take pride in who I am to da,Translated: I take pride in who I am to nl,Translated: I take pride in who I am to en,Translated: I take pride in who I am to et
,,,I am happy just being me,positive,,Translated: I am happy just being me to bg,Translated: I am happy just being me to hr,Translated: I am happy just being me to cs,Translated: I am happy just being me to da,Translated: I am happy just being me to nl,Translated: I am happy just being me to en,Translated: I am happy just being me to et
,,,I am totally comfortable being myself,positive,,Translated: I am totally comfortable being myself to bg,Translated: I am totally comfortable being myself to hr,Translated: I am totally comfortable being myself to cs,Translated: I am totally comfortable being myself to da,Translated: I am totally comfortable being myself to nl,Translated: I am totally comfortable being myself to en,Translated: I am totally comfortable being myself to et
,,,I have limitless confidence in my abilities,positive,,Translated: I have limitless confidence in my abilities to bg,Translated: I have limitless confidence in my abilities to hr,Translated: I have limitless confidence in my abilities to cs,Translated: I have limitless confidence in my abilities to da,Translated: I have limitless confidence in my abilities to nl,Translated: I have limitless confidence in my abilities to en,Translated: I have limitless confidence in my abilities to et
,,,I accept myself deeply and completely,positive,,Translated: I accept myself deeply and completely to bg,Translated: I accept myself deeply and completely to hr,Translated: I accept myself deeply and completely to cs,Translated: I accept myself deeply and completely to da,Translated: I accept myself deeply and completely to nl,Translated: I accept myself deeply and completely to en,Translated: I accept myself deeply and completely to et
,,,I have accomplished great things,positive,,Translated: I have accomplished great things to bg,Translated: I have accomplished great things to hr,Translated: I have accomplished great things to cs,Translated: I have accomplished great things to da,Translated: I have accomplished great things to nl,Translated: I have accomplished great things to en,Translated: I have accomplished great things to et
,,,Others are inspired by my ability to be myself,positive,,Translated: Others are inspired by my ability to be myself to bg,Translated: Others are inspired by my ability to be myself to hr,Translated: Others are inspired by my ability to be myself to cs,Translated: Others are inspired by my ability to be myself to da,Translated: Others are inspired by my ability to be myself to nl,Translated: Others are inspired by my ability to be myself to en,Translated: Others are inspired by my ability to be myself to et
,,,I have confidence in my ability to do whatever I set my mind to,positive,,Translated: I have confidence in my ability to do whatever I set my mind to to bg,Translated: I have confidence in my ability to do whatever I set my mind to to hr,Translated: I have confidence in my ability to do whatever I set my mind to to cs,Translated: I have confidence in my ability to do whatever I set my mind to to da,Translated: I have confidence in my ability to do whatever I set my mind to to nl,Translated: I have confidence in my ability to do whatever I set my mind to to en,Translated: I have confidence in my ability to do whatever I set my mind to to et
,,,HAPPINESS KNOCKS ON MY DOOR,positive,,Translated: HAPPINESS KNOCKS ON MY DOOR to bg,Translated: HAPPINESS KNOCKS ON MY DOOR to hr,Translated: HAPPINESS KNOCKS ON MY DOOR to cs,Translated: HAPPINESS KNOCKS ON MY DOOR to da,Translated: HAPPINESS KNOCKS ON MY DOOR to nl,Translated: HAPPINESS KNOCKS ON MY DOOR to en,Translated: HAPPINESS KNOCKS ON MY DOOR to et
,,,I enjoy my days,positive,,Translated: I enjoy my days to bg,Translated: I enjoy my days to hr,Translated: I enjoy my days to cs,Translated: I enjoy my days to da,Translated: I enjoy my days to nl,Translated: I enjoy my days to en,Translated: I enjoy my days to et
,,,I ENRICH MY DAYS WITH POSITIVITY,positive,,Translated: I ENRICH MY DAYS WITH POSITIVITY to bg,Translated: I ENRICH MY DAYS WITH POSITIVITY to hr,Translated: I ENRICH MY DAYS WITH POSITIVITY to cs,Translated: I ENRICH MY DAYS WITH POSITIVITY to da,Translated: I ENRICH MY DAYS WITH POSITIVITY to nl,Translated: I ENRICH MY DAYS WITH POSITIVITY to en,Translated: I ENRICH MY DAYS WITH POSITIVITY to et
,,,"I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON",positive,,"Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to bg","Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to hr","Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to cs","Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to da","Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to nl","Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to en","Translated: I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON to et"
,,,I am finding it easier to love and accept myself,positive,,Translated: I am finding it easier to love and accept myself to bg,Translated: I am finding it easier to love and accept myself to hr,Translated: I am finding it easier to love and accept myself to cs,Translated: I am finding it easier to love and accept myself to da,Translated: I am finding it easier to love and accept myself to nl,Translated: I am finding it easier to love and accept myself to en,Translated: I am finding it easier to love and accept myself to et
,,,Each day I become more confident in who I am,positive,,Translated: Each day I become more confident in who I am to bg,Translated: Each day I become more confident in who I am to hr,Translated: Each day I become more confident in who I am to cs,Translated: Each day I become more confident in who I am to da,Translated: Each day I become more confident in who I am to nl,Translated: Each day I become more confident in who I am to en,Translated: Each day I become more confident in who I am to et
,,,I will take time to remember all my accomplishments,positive,,Translated: I will take time to remember all my accomplishments to bg,Translated: I will take time to remember all my accomplishments to hr,Translated: I will take time to remember all my accomplishments to cs,Translated: I will take time to remember all my accomplishments to da,Translated: I will take time to remember all my accomplishments to nl,Translated: I will take time to remember all my accomplishments to en,Translated: I will take time to remember all my accomplishments to et
,,,I will love myself unconditionally no matter what,positive,,Translated: I will love myself unconditionally no matter what to bg,Translated: I will love myself unconditionally no matter what to hr,Translated: I will love myself unconditionally no matter what to cs,Translated: I will love myself unconditionally no matter what to da,Translated: I will love myself unconditionally no matter what to nl,Translated: I will love myself unconditionally no matter what to en,Translated: I will love myself unconditionally no matter what to et
,,,I am beginning to see all the positive qualities and traits that I have,positive,,Translated: I am beginning to see all the positive qualities and traits that I have to bg,Translated: I am beginning to see all the positive qualities and traits that I have to hr,Translated: I am beginning to see all the positive qualities and traits that I have to cs,Translated: I am beginning to see all the positive qualities and traits that I have to da,Translated: I am beginning to see all the positive qualities and traits that I have to nl,Translated: I am beginning to see all the positive qualities and traits that I have to en,Translated: I am beginning to see all the positive qualities and traits that I have to et
