Unnamed: 0,Unnamed: 1,Unnamed: 2, Affirmations,Tag,Unnamed: 5
,,,I love myself unconditionally,positive,
,,,I am a good person who deserves to be happy,positive,
,,,I take pride in who I am,positive,
,,,I am happy just being me,positive,
,,,I am totally comfortable being myself,positive,
,,,I have limitless confidence in my abilities,positive,
,,,I accept myself deeply and completely,positive,
,,,I have accomplished great things,positive,
,,,Others are inspired by my ability to be myself,positive,
,,,I have confidence in my ability to do whatever I set my mind to,positive,
,,,HAPPINESS KNOCKS ON MY DOOR,positive,
,,,I enjoy my days,positive,
,,,I ENRICH MY DAYS WITH POSITIVITY,positive,
,,,"I AM A HAPPY, JOYOUS, ALWAYS SMILING PERSON",positive,
,,,I am finding it easier to love and accept myself,positive,
,,,Each day I become more confident in who I am,positive,
,,,I will take time to remember all my accomplishments,positive,
,,,I will love myself unconditionally no matter what,positive,
,,,I am beginning to see all the positive qualities and traits that I have,positive,
,,,Others are starting to notice my self acceptance and improved confidence,positive,
,,,I am discovering more wonderful things about myself with each passing day,positive,
,,,I am beginning to truly love myself,positive,
,,,Loving myself feels more natural and effortless,positive,
,,,I will always accept myself unconditionally,positive,
,,,I AM CONFIDENT AND BELIEVE IN MYSELF,positive,
,,,"I HAVE CONFIDENCE, INNER-STRENGTH AND FAITH",positive,
,,,CONFIDENCE SHINES THROUGH ME,positive,
,,,Loving myself is essential to my happiness,positive,
,,,I deserve to go after my goals and do what makes me happy,positive,
,,,I find it easy to recognize my positive qualities,positive,
,,,Being happy with myself is a normal part of my every day life,positive,
,,,I find it easy to be confident and comfortable with who I am,positive,
,,,Accepting myself unconditionally gives me the power to succeed,positive,
,,,I know I have the right to be happy and nothing can take that away from me,positive,
,,,Loving myself and being happy with who I am comes naturally to me,positive,
,,,I truly like myself and this helps others to accept me for who I am,positive,
,,,I have a natural awareness of all the positive things in my life,positive,
,,,"I FEEL CAPABLE, WORTHY AND STRONG",positive,
,,,ENORMOUS STRENGTH COMES TO ME AT THE RIGHT TIME,positive,
,,,I FEEL CONFIDENT IN MYSELF,positive,
,,,I am confident,positive,
,,,I am strong and powerful,positive,
,,,I boldly go after what I want in life,positive,
,,,I am outgoing and confident in social situations,positive,
,,,I believe in myself,positive,
,,,I always stand up for myself and my beliefs,positive,
,,,I confidently meet any challenge,positive,
,,,I confidently speak my mind without hesitation,positive,
,,,Others look up to me as a leader because of my confidence,positive,
,,,I always express my thoughts and opinions with confidence,positive,
,,,I AM CONFIDENT AND FILLED WITH STRENGTH,positive,
,,,I BREATHE AND MOVE WITH CONFIDENCE,positive,
,,,MY CONFIDENCE EMPOWERS ME TO DREAM BIG,positive,
,,,I will become confident,positive,
,,,My confidence is increasing,positive,
,,,I will always believe in myself and my ability to succeed,positive,
,,,"Every day I become more confident, powerful, and assertive",positive,
,,,I am becoming more sure of myself with each passing day,positive,
,,,I am finding it easier to have confidence in myself,positive,
,,,I am starting to confidently assert my thoughts and opinions,positive,
,,,I will always meet a difficult challenge with confident action,positive,
,,,I am transforming into someone who always stands up for what they believe in,positive,
,,,Others are starting to notice my self confidence,positive,
,,,"I FEEL CONFIDENT, STRONG AND EMPOWERED",positive,
